char,rhymes
津,臻
人,臻
隣,臻
巾,臻
鵑,山
泉,山
田,山
賢,山
通,通
中,通
空,通
翁,通
陲,止
知,止
時,止
期,止
隅,遇
無,遇
殊,遇
夫,遇
心,深
林,深
琴,深
深,深
峰,通
鐘,通
松,通
龍,通
湲,山
蟬,山
煙,臻
前,山
秋,流
流,流
舟,流
留,流
閑,山
還,山
山,山
關,山
懸,山
年,山
邊,山
川,臻
傳,山
貧,臻
頻,臻
親,臻
顏,山
榮,梗
生,梗
城,梗
情,梗
回,蟹
來,蟹
開,蟹
梅,蟹
微,止
歸,止
飛,止
稀,止
重,通
雲,臻
軍,臻
聞,臻
紛,臻
君,臻
芬,臻
遊,流
樓,流
征,梗
鳴,梗
逢,通
容,通
枝,止
遲,止
僧,曾
層,曾
藤,曾
憎,曾
聲,梗
平,山
清,梗
絃,山
緣,山
千,山
暉,止
衣,止
浮,流
行,宕
墳,臻
休,流
鷗,流
繁,臻
魂,X
尊,臻
門,臻
明,梗
兵,梗
何,果
多,果
過,果
羅,果
看,山
安,山
寒,山
乾,山
金,深
簪,深
珂,果
然,山
眠,山
船,山
慵,通
蓉,通
新,臻
春,臻
苹,臻
襟,深
營,梗
頭,流
違,止
扉,止
端,山
漫,山
廬,遇
疎,X
除,遇
虛,遇
家,假
斜,假
麻,假
花,假
資,止
師,止
衰,止
悲,止
今,深
臨,深
華,假
霞,假
哀,蟹
臺,止
迴,蟹
間,山
斑,山
滋,止
絲,止
宮,通
窮,通
同,通
鄰,臻
身,臻
丘,流
之,止
隨,止
疑,止
音,深
思,止
州,流
離,止
旗,止
瓢,效
條,效
遙,效
樵,效
蘿,果
河,果
波,果
痕,臻
源,臻
言,臻
先,山
蘋,臻
錢,山
長,宕
香,宕
堂,宕
裳,宕
輕,梗
帷,止
侵,深
吟,深
沉,深
蟲,通
賒,假
鴉,假
乖,蟹
釵,蟹
槐,蟹
齋,蟹
財,蟹
詞,止
眉,止
裘,流
旒,流
闈,止
菑,止
鸝,止
葵,止
東,通
蓬,通
闌,山
官,山
難,山
洲,流
愁,流
殘,山
縫,通
紅,通
風,通
郎,宕
狂,宕
涯,止
濃,通
雷,蟹
才,蟹
灰,蟹
胥,遇
車,遇
如,遇
餘,遇
跎,果
村,臻
昏,臻
論,臻
高,效
毛,效
曹,效
勞,效
鄉,宕
陽,宕
霄,效
搖,效
寥,效
杯,蟹
森,深
醅,蟹
橋,效
朝,效
茫,宕
牆,宕
腸,宕
天,山
圓,山
旌,梗
纓,梗
傷,宕
妝,宕
居,止
書,遇
躇,遇
悠,流
成,梗
晴,梗
機,止
歌,果
憐,山
收,流
程,梗
陰,深
王,宕
床,宕
幽,流
宗,通
湯,宕
嘗,宕
事,止
未,止
響,宕
上,宕
嘯,效
照,效
爐,遇
刀,效
洮,效
霜,宕
誰,止
原,臻
弦,山
圖,遇
吳,遇
鳥,效
少,效
啼,蟹
西,蟹
滅,山
雪,山
去,遇
處,遇
美,止
裡,止
晚,臻
遠,臻
彈,山
住,遇
孤,遇
壺,遇
侯,流
袍,效
催,蟹
軒,臻
姑,遇
倫,臻
神,臻
函,咸
帆,咸
池,止
宵,效
初,遇
凋,效
簫,效
名,梗
螢,梗
星,梗
陵,曾
喬,效
環,山
堤,止
橫,宕
窠,果
蛾,果
塵,臻
沙,假
和,果
